Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
34,Nice Meta Winner Ensemble: 212 players,2.690555555555555,0.5669528806584362,75.0,1.0,0.5594172839506171,0.007535596707818931,0.14570205761316876,0.28734506172839513,0.8214439026829004,0.24015857534189747,0.0729170652585896,0.03430220169682013
35,EvolvedLookerUp1_1_1,2.685288065843621,0.614933950617284,74.0,1.0,0.5783944444444444,0.036539506172839534,0.14136954732510285,0.24369650205761317,0.9499710014553021,0,0.7590094296249525,0
36,NMWE Deterministic: 145 players,2.6847942386831267,0.5646611111111111,76.5,1.0,0.5588164609053498,0.0058446502057613176,0.14334238683127576,0.2919965020576132,0.8401222121365937,0.25176172831461935,0.06591325505860561,0.0273102255583916
37,NMWE Long Memory: 133 players,2.678179012345679,0.5645207818930041,76.0,1.0,0.5584816872427983,0.006039094650205761,0.1419565843621399,0.29352263374485593,0.8218345841227738,0.25239073727340167,0.06400773951394254,0.03127104538982025
38,Second by Cave,2.677469135802469,0.7958796296296297,26.0,1.0,0.7564707818930042,0.039408847736625514,0.05092489711934156,0.15319547325102875,0.9984423714824066,0.4039954375378341,0.7522811375501913,0.10314628269456265
39,Revised Downing,2.6746707818930044,0.7736082304526749,29.0,1.0,0.723225720164609,0.05038251028806585,0.06968991769547322,0.15670185185185187,0.996664429143248,0.7632103782913893,0.0625114102156048,0.15326992532551661
40,Second by Weiner,2.67104938271605,0.7551041152263375,40.0,1.0,0.7318004115226336,0.02330370370370366,0.0575374485596708,0.18735843621399173,0.9993095771120263,0.2082653583959936,0.6672897984583929,0.0031353666690530284
41,Nice Meta Winner: 212 players,2.6636316872427983,0.5732131687242799,71.0,1.0,0.5624796296296296,0.010733539094650198,0.1376288065843621,0.28915802469135804,0.8632161871405875,0.6605696488203036,0.03471207958360024,0.042819231447715385
42,TF3,2.6630144032921805,0.5740866255144033,77.0,1.0,0.5684386831275721,0.005647942386831277,0.13271543209876546,0.2931979423868313,0.9325520776089959,0.605637211476488,0.31254403745600506,0.01354189108711908
43,Grudger,2.661512345679012,0.5595981481481481,83.0,1.0,0.5571259259259259,0.0024722222222222237,0.13740967078189306,0.3029921810699588,1.0,0,0,0
44,Evolved ANN 5 Noise 05,2.656419753086419,0.5470701646090534,117.0,1.0,0.4613604938271608,0.08570967078189301,0.20456954732510263,0.24836028806584357,0.8810466991333098,0.8587962994757249,0.6158026566732897,0.3098647142755898
45,Level Punisher,2.6538786008230457,0.726211316872428,42.0,1.0,0.7014072016460906,0.024804115226337433,0.06894732510288062,0.2048413580246913,0.9892660117382348,0.8821409521962182,0.10360997578604464,0
46,"ZD-GTFT-2: 0.25, 0.5",2.6495267489711933,0.8554520576131687,0.0,1.0,0.7753170781893004,0.08013497942386837,0.04410411522633748,0.1004438271604938,1.0,0.12768488433237002,1.0,0.25153486401054476
47,Soft Joss: 0.9,2.6473868312757203,0.8298985596707819,0.0,1.0,0.7629230452674897,0.06697551440329222,0.04691872427983542,0.1231827160493827,1.0,0.10167879074496473,1.0,0.10123764941573533
48,GTFT: 0.1,2.647181069958848,0.829462962962963,0.0,1.0,0.7623479423868313,0.06711502057613168,0.04698600823045267,0.12355102880658433,1.0,0.09852100136040379,1.0,0.10127201374570728
49,Second by Tideman and Chieruzzi,2.6449382716049383,0.7771594650205761,38.0,1.0,0.7262767489711934,0.050882716049382735,0.060820781893004126,0.16201975308641972,1.0,0.30281724107193,0.6374059479890619,0.16296842222924277
