Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved ANN 5 Noise 05,2.503405349794239,0.4960049382716049,125.0,0.9502057613168724,0.40212283950617284,0.09388209876543203,0.19848353909465027,0.30551152263374476,0.8110222107287508,0.6304472896620361,0.4440821060036192,0.16617114529060215
1,"DBS: 0.75, 3, 4, 3, 5",2.441409465020576,0.4002849794238683,133.0,0.9521399176954732,0.31790946502057604,0.08237551440329213,0.2225662551440328,0.377148765432099,0.8325987133596227,0.5004307796535578,0.2797940027232142,0.22960051612007656
2,Second by RichardHufford,2.394742798353909,0.40423971193415636,129.0,0.9473251028806584,0.3022413580246915,0.101998353909465,0.2234104938271604,0.3723497942386831,0.8182836279122989,0.15091831061211983,0.6580787327953255,0.07898038843423814
3,Evolved FSM 16 Noise 05,2.3829938271604947,0.44345864197530865,108.0,0.9508230452674897,0.3410919753086419,0.10236666666666669,0.20003106995884778,0.35651028806584373,0.8568644807929087,0.4896785515748312,0.412688652568646,0.09463842721963635
4,Evolved ANN,2.379907407407407,0.4248969135802469,132.0,0.9489300411522634,0.35739238683127583,0.06750452674897119,0.18320226337448556,0.39190082304526747,0.8137410749496055,0.6215712918110229,0.30081783792556116,0.07332163904293337
5,First by Downing,2.3243724279835387,0.29442325102880657,147.0,0.04967078189300411,0.21780596707818933,0.07661728395061729,0.24116399176954723,0.4644127572016461,0.5035656770876858,0.364350564022188,0.26159510850850104,0.126942567569089
6,Second by Mikkelson,2.3190637860082304,0.5672135802469136,92.0,0.9508641975308642,0.47724444444444425,0.08996913580246918,0.11324670781893009,0.3195397119341564,0.8955556672931428,0.673739894611416,0.5067594515642815,0.31832440989026506
7,Second by Rowsam,2.3158847736625514,0.5006489711934157,95.0,0.951358024691358,0.4057606995884775,0.09488827160493829,0.15040720164609056,0.3489438271604937,0.7955865571625109,0.643733691454131,0.45738704441992367,0.2631201435586213
8,Second by Borufsen,2.3140946502057607,0.5454094650205761,114.0,0.9516872427983539,0.4197602880658436,0.12564917695473263,0.15001234567901237,0.3045781893004114,0.9142333881899676,0.13156770114659314,0.6778944047805421,0.14383262940251157
9,Level Punisher,2.3110802469135803,0.46861522633744856,123.5,0.9492181069958848,0.3951800411522634,0.07343518518518519,0.14876666666666663,0.3826181069958848,0.8511549865121061,0.6432752101843483,0.35472115973977897,0.13731198692264332
10,"Omega TFT: 3, 8",2.300812757201646,0.39203024691358024,176.0,0.9495061728395062,0.3226034979423869,0.0694267489711934,0.18116337448559672,0.42680637860082293,0.8409072386982994,0.11113087325582717,0.4732613463964992,0.056891042898976486
11,"DoubleCrosser: (D, D)",2.2893415637860084,0.35222510288065845,157.0,0.9483539094650206,0.2785465020576131,0.07367860082304523,0.20214979423868304,0.44562510288065854,0.824544904770214,0.5047869695843187,0.25687106024522327,0.05883066645227773
12,Second by White,2.2828909465020573,0.6787222222222222,19.0,0.9479423868312757,0.5354187242798356,0.1433034979423868,0.08883971193415637,0.2324380658436213,0.9502188768626825,0.6117875322891367,0.9500492151891068,0.3811458862935337
13,Second by Cave,2.276502057613169,0.5298018518518518,109.0,0.9495061728395062,0.42134609053497946,0.10845576131687243,0.13521152263374484,0.3349866255144033,0.9103397862619479,0.3273511879389811,0.6078194475940123,0.1523865294527741
14,Second by Tranquilizer,2.272530864197531,0.5849958847736626,68.0,0.9510288065843622,0.44122551440329216,0.14377037037037038,0.13309279835390944,0.28191131687242793,0.8613039952632371,0.4421517264392274,0.8695769265070303,0.35224639829555054
15,PSO Gambler 2_2_2 Noise 05,2.266502057613169,0.4511932098765432,117.0,0.9477777777777778,0.30447983539094636,0.14671337448559674,0.20050802469135814,0.34829876543209876,0.6239489353802458,0.47442253925549516,0.5896550452606772,0.28363498456602054
16,Second by Yamachi,2.265390946502057,0.595159670781893,76.0,0.9496296296296296,0.4796197530864197,0.11553991769547331,0.10513909465020578,0.29970123456790115,0.8452151621990414,0.6308376503445544,0.5806836957459778,0.35432590957388427
17,"Stalker: (D,)",2.255689300411523,0.5999858024691358,63.0,0.9503703703703704,0.4601765432098766,0.13980925925925927,0.118837037037037,0.28117716049382707,0.9044990570588114,0.7144803887493563,0.4670383973025228,0.19715083681082812
18,"Grumpy: Nice, 10, -10",2.2444444444444436,0.726429012345679,41.0,0.9495061728395062,0.5537670781893005,0.1726619341563785,0.07731934156378598,0.19625164609053505,0.9124323902455004,0.879448267259111,0.6289087090663924,0.5495191020206505
19,Second by Kluepfel,2.2433950617283953,0.48506748971193414,112.5,0.9549382716049383,0.37006851851851874,0.11499897119341561,0.15414053497942387,0.36079197530864177,0.8794989639596127,0.3081003997590981,0.671915221016644,0.11351470924222709
20,VeryBad,2.240082304526749,0.6606652263374485,61.5,0.9526337448559671,0.5227378600823043,0.13792736625514412,0.0827567901234568,0.2565779835390948,0.8985596764073749,0.7691755134401247,0.600731978045063,0.315280104988564
21,Second by Harrington,2.237325102880659,0.6451679012345679,88.0,0.9493827160493827,0.4412646090534981,0.20390329218106992,0.1400816872427983,0.21475041152263363,0.9188979146031065,0.29661761350856863,0.8743135422128193,0.2882085228787832
22,Soft Go By Majority: 40,2.2369958847736626,0.6328631687242798,65.0,0.9530041152263374,0.505737242798354,0.12712592592592595,0.08783724279835388,0.2792995884773662,0.9004760563484758,0.7448476967788951,0.5593964390683347,0.2896328044642527
23,Spiteful Tit For Tat,2.2353600823045268,0.234540329218107,213.0,0.951440329218107,0.18212366255144025,0.05241666666666663,0.23162983539094636,0.5338298353909467,0.7743082354195859,0.05015199917645975,0.23577305584301164,0.049914672721443516
24,Second by GraaskampKatzen,2.2352366255144034,0.2908574074074074,210.0,0.9495473251028806,0.23389485596707837,0.056962551440329225,0.205802880658436,0.5033397119341564,0.8103259577330899,0.050718063911285506,0.32448658486694787,0.04994588623926319
25,ShortMem,2.2332921810699586,0.5997804526748971,60.0,0.950164609053498,0.4835711934156379,0.11620925925925928,0.0948524691358024,0.30536707818930037,0.9284992217184792,0.5896266339570356,0.6513777274222521,0.2496034394124469
26,Doubler,2.233199588477366,0.6496150205761317,32.0,0.9501234567901234,0.5027452674897119,0.1468697530864198,0.09376440329218115,0.25662057613168715,0.9495516181170532,0.5275674709463786,0.9497063339804297,0.21226409740322458
27,Soft Go By Majority: 20,2.2307818930041154,0.6222253086419753,65.0,0.9514814814814815,0.5006545267489712,0.12157078189300417,0.08731234567901237,0.29046234567901225,0.9012743817923083,0.7228128495102366,0.5553585320129903,0.27791467137039205
28,"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",2.226985596707819,0.48244609053497944,122.0,0.950164609053498,0.3961915637860082,0.08625452674897116,0.13094691358024693,0.38660699588477365,0.8685885397842946,0.5362936170442978,0.4337172917299606,0.13771898749519745
29,Soft Go By Majority,2.226512345679012,0.6540893004115226,63.0,0.9505349794238683,0.5135748971193416,0.1405144032921811,0.08504711934156368,0.26086358024691364,0.898784854234702,0.7650946940534092,0.579756384882278,0.29043935919721164
30,Soft Go By Majority: 10,2.223590534979424,0.6211481481481481,67.0,0.9497119341563786,0.5018360082304526,0.11931213991769554,0.08482078189300404,0.2940310699588477,0.9119156404144751,0.6983693443501061,0.5669884519070642,0.2743632592256717
31,"BackStabber: (D, D)",2.2202777777777776,0.1974993827160494,198.5,0.951440329218107,0.14912530864197523,0.04837407407407408,0.2431423868312756,0.5593582304526751,0.7933438873352504,0.3431755218392523,0.10757491896568838,0.052407011895768074
32,"EugineNier: (D,)",2.21332304526749,0.1761648148148148,212.0,0.9518930041152264,0.12977880658436214,0.04638600823045269,0.24951975308641994,0.5743154320987652,0.7825722233503271,0.05050975380773656,0.16206778680943695,0.05005633909503764
33,Second by Eatherley,2.210195473251029,0.7503067901234568,22.0,0.9510288065843622,0.560437037037037,0.1898697530864198,0.06968497942386837,0.18000823045267486,0.9503287047625713,0.6145625200166709,0.9502818461079465,0.4881048555347042
34,Evolved FSM 4,2.208333333333334,0.546746913580247,88.0,0.9493827160493827,0.27534403292181064,0.27140288065843626,0.23156851851851848,0.22168456790123459,0.7599517213827085,0.41428793235324235,0.14744857173159925,0.7002505495229321
35,Tit For 2 Tats,2.2040637860082306,0.7042555555555555,21.0,0.9502469135802469,0.541250411522634,0.16300514403292174,0.07094506172839503,0.22479938271604918,0.9498216722144149,0.6843763065373026,0.9501690462456663,0.290938671600005
36,Soft Go By Majority: 5,2.201862139917696,0.5552837448559671,95.0,0.948395061728395,0.4495909465020578,0.10569279835390956,0.10144485596707817,0.3432713991769546,0.9100804701305459,0.5813305743153697,0.5234579045038095,0.17694647896568635
