Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Raider,2.8997156744422368,0.34987997363151285,127.0,0.0,0.22786806240844446,0.12080693414456525,0.31518946321987523,0.3361355402271152,0.9213936193851475,0.5913128568321631,0.3292488551022917,0.43173468156660055
1,Prober 3,2.8760886504204954,0.26245685295815707,153.0,0.0,0.13230681197776184,0.12967980328528753,0.36024995659563974,0.3777634281413109,0.7560748834037843,0,0.6713153573521361,0.2592410095206566
2,First by Downing,2.862557113958514,0.3017404341307607,143.0,0.0,0.19560556012983205,0.10549544302985452,0.31418348801536544,0.384715508824948,0.8292161285069735,0.5923938306449811,0.2663074778323499,0.4339378958708797
3,Fortress4,2.8435190165961437,0.12934401435955392,180.0,0.0,0.021200182176011113,0.10762731178053142,0.37604497566601297,0.4951275303774444,1.0,0,0,0.2605554571782501
4,Fortress3,2.82485231671323,0.20739300415778913,167.0,0.0,0.053417946343688065,0.15346069521099648,0.36599037731280154,0.42713098113251396,1.0,0,0,0.4253063015720976
5,Hard Prober,2.821798035235159,0.4028421680934743,118.0,0.0,0.27931136413016294,0.12418495864901812,0.280331460979289,0.3161722162415299,0.8769823118721323,0.5648827514209036,0.40800699593987816,0.451999757464976
6,UsuallyDefects,2.8079833570754698,0.10290519939917692,170.0,0.0,0.02490627962916252,0.07806702106181858,0.35291989027264825,0.5441068090363707,0,0,0,0.3721185217174464
7,Better and Better,2.806925889585323,0.010058990713506724,219.0,0.0011934156378600822,0.0027234254356735903,0.007224242125724957,0.33900773313792426,0.6510445993006773,0.1866039516039516,0.14628679401406672,0.009848926852621495,0.013189216033354873
8,Tricky Defector,2.801740565610073,0.23660486617204338,166.0,0.0,0.04569423048432491,0.19194390049755886,0.364501905485439,0.3978599635326773,0,1.0,0,0.25077846208747906
9,Defector,2.786480402648203,0.0,223.0,0.0,0.0,0.0,0.33288133097843803,0.6671186690215619,0,0,0,0
10,Prober,2.784855093006978,0.4459314052393207,100.0,0.0,0.3095472553698101,0.13377223939796018,0.2658906998197016,0.2907898054125282,0.8201323957502054,0.5808839473715804,0.7438587014284009,0.3710762876372544
11,Random: 0.1,2.7824564533964233,0.10112215533209844,192.0,0.10539094650205762,0.038211983417671375,0.06291089283142236,0.33847321191498075,0.5604039118359255,0.11263855148923944,0.10559580068663264,0.10410974627797175,0.10176016419781554
12,Ripoff,2.7642895858063956,0.5497396015883684,91.0,0.0,0.4035192690935491,0.14561837757862012,0.21526051694735887,0.2356018363804718,0.8212304176025711,0.5887229191468117,1.0,0.388162567970625
13,Evolved FSM 16,2.7438014409750604,0.8028531433982461,28.0,1.0,0.7151994854906665,0.08874442730892745,0.11545899304893495,0.08059709415147122,0.9130907493103682,0.4187970554980029,0.6234679130665527,0.3423188813202053
14,Second by Gladstein,2.73982016784956,0.5703414410016369,81.0,0.0,0.4212393058800521,0.14796691245610405,0.2033131236883608,0.22748065797548303,0.8203942306981451,0.5763426467084684,1.0,0.39762477297840765
15,Second by Tester,2.7364063071749936,0.5661559859752539,82.0,0.0,0.4219370541658242,0.1468384715028884,0.20287504213257915,0.22834943219870832,0.821713214333814,0.5751938022822206,1.0,0.3978860646500689
16,Cycler DDC,2.7351138349949218,0.29824115684649377,154.0,0.0,0.09013350520959572,0.20778453652245485,0.33492004675584236,0.3671619115121071,0,0,0.40591959651824644,0.6364529883110428
17,MEM2,2.7307816509322658,0.7352337203932177,33.0,1.0,0.6942556704540305,0.04249382944823204,0.10814488360365211,0.1551056164940854,0.9978273771774778,0.20505487807011358,0.36819377301745354,0
18,Tricky Level Punisher,2.72638768347368,0.7000206211077659,40.0,1.0,0.6668879460804382,0.034340372638884356,0.11400035713930909,0.1847713241413683,1.0,0.30466618256556344,0.02491537225010134,0
19,"Limited Retaliate 3: 0.05, 20",2.7250259765369482,0.7039597010611504,41.0,1.0,0.6673916525905434,0.03723075601194608,0.1136677571364267,0.18170983426108378,0.9814701400610835,0,0.022886319665701593,0.0217399876605514
20,EvolvedLookerUp1_1_1,2.724802725727102,0.7475952146931457,32.0,1.0,0.6822751635094679,0.06482552982133415,0.11743979393335005,0.1354595127358478,0.9773296241854775,0,0.7838920520636438,0
21,Spiteful Tit For Tat,2.7233145252023716,0.7708679089879543,22.0,1.0,0.7073230160664261,0.06527001906911814,0.10572168988015516,0.12168527498430058,1.0,0,0.7450768233299648,0
22,Grudger,2.7224074648735943,0.6944472883486836,41.0,1.0,0.6604012773221691,0.034240319449195956,0.11745918932973001,0.18789921389890496,1.0,0,0,0
23,Aggravater,2.720724272193548,0.10751609293644994,223.0,0.0,0.09996458055560209,0.007830920153228397,0.2706078555456283,0.6215966437455412,1.0,0,0.15065201211571602,0
24,Evolved FSM 16 Noise 05,2.7203477360292725,0.7977249224405377,21.0,1.0,0.7340383415189765,0.06349675849964942,0.09256087102178966,0.10990402895958436,0.9746621506205592,0.46684290491246777,0.4974855748162623,0.09834967780079458
25,Forgiver,2.719827797826098,0.7099086873707359,41.0,1.0,0.6744210934798155,0.03561581307111518,0.1074310475730641,0.18253204587600527,1.0,0.3554927128928723,0.0763891672268145,0
26,Meta Minority: 212 players,2.718257370061001,0.4855513151955353,127.0,0.0,0.13901069481880643,0.3452696959597322,0.34356288163470877,0.17215672758675268,0.2180133869373557,1.0,0.0073228855130826175,0.9968716182019616
27,Retaliate 3: 0.05,2.7177250705716234,0.6994118195489941,41.0,1.0,0.6663040972574207,0.03381301777964742,0.11226519590667107,0.18761768905626075,1.0,0,0.011720991276352349,0
28,"Limited Retaliate 2: 0.08, 15",2.7144834888990474,0.7094173006363881,40.0,1.0,0.671254195165333,0.04018545349102789,0.10871609180546338,0.17984425953817568,0.9896895760139961,0,0.04297219715145727,0.03597334016084273
29,Second by RichardHufford,2.7138903721490752,0.7756703486223463,31.0,1.0,0.7066112384274242,0.07041426128638116,0.10402398600923002,0.11895051427696456,0.9772610760319723,0.436287868503042,0.827322977273468,0.08546406006232471
30,Retaliate 2: 0.08,2.713413607177362,0.7040365712042655,41.0,1.0,0.6710464639518765,0.035069382662272455,0.10792585682802151,0.1859582965578295,1.0,0,0.031424010605407046,0
31,Bully,2.713114042426344,0.4736175497706676,129.5,0.0,0.12594760982334982,0.34590068186093637,0.349370021034035,0.17878168728167879,0,1.0,0,1.0
32,"Gradual Killer: (D, D, D, D, D, C, C)",2.712572820753518,0.394521146920878,153.0,0.0,0.25474612100319194,0.1394110560459815,0.2175392208365928,0.38830360211423376,1.0,0.7985458917875968,0.1291188731021209,0.19407682510231453
33,Forgetful Grudger,2.71019157173963,0.7150381110429372,41.0,1.0,0.6772864381789024,0.037043970399189705,0.10132580167393578,0.18434378974797214,1.0,0,0.06422252589331279,0
34,Retaliate: 0.1,2.7098371128793133,0.7112018136823398,41.0,1.0,0.6735957927396252,0.036758889255077996,0.10385692895941827,0.1857883890458785,1.0,0,0.0466692039713153,0
35,"Michaelos: (D,)",2.7094599688687095,0.7452763999477875,27.0,1.0,0.701140100740148,0.045453447886186826,0.09778465483176588,0.1556217965418994,1.0,0,0.26585614242312067,0
36,Suspicious Tit For Tat,2.7086104566551796,0.5078747836768911,137.5,0.0,0.3409064943250319,0.16596544335293953,0.22330518377867678,0.2698228785433517,1.0,0,1.0,0
37,"Limited Retaliate: 0.1, 20",2.706971869530236,0.7193608369602975,41.0,1.0,0.6771654564245494,0.03891352780581961,0.10427822253240188,0.17964279323722912,0.9992458209236497,0,0.04379085580017584,0.016155912437791322
